DeviceTag: 2,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.172,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
291732,0.2680,-0.0125,-0.0074,0.9633,0.0049,0.0152,1.1004,0
291898,0.2680,-0.0125,-0.0074,0.9633,0.0269,0.0107,1.0971,0
292065,0.2681,-0.0125,-0.0074,0.9633,0.0176,0.0155,1.0921,0
292232,0.2681,-0.0125,-0.0074,0.9633,0.0163,0.0284,1.0909,0
292398,0.2681,-0.0125,-0.0074,0.9633,0.0127,0.0156,1.0967,0
292565,0.2681,-0.0125,-0.0074,0.9633,0.0080,0.0040,1.0801,0
292732,0.2681,-0.0125,-0.0074,0.9633,0.0139,0.0117,1.0818,0
292898,0.2681,-0.0125,-0.0074,0.9633,0.0149,0.0095,1.0960,0
293065,0.2681,-0.0125,-0.0074,0.9633,0.0040,0.0028,1.1054,0
293232,0.2681,-0.0125,-0.0074,0.9633,0.0064,0.0040,1.1050,0
293398,0.2681,-0.0125,-0.0074,0.9633,0.0055,0.0168,1.1020,0
293565,0.2681,-0.0125,-0.0074,0.9633,0.0097,0.0149,1.0863,0
293732,0.2682,-0.0125,-0.0074,0.9633,0.0091,-0.0050,1.1062,0
293898,0.2682,-0.0125,-0.0074,0.9633,0.0022,0.0148,1.0799,0
294065,0.2682,-0.0125,-0.0074,0.9633,0.0201,0.0082,1.0903,0
294232,0.2682,-0.0125,-0.0074,0.9633,0.0131,0.0124,1.0864,0
294398,0.2682,-0.0125,-0.0074,0.9633,0.0147,-0.0013,1.0695,0
294565,0.2682,-0.0125,-0.0074,0.9633,0.0030,0.0064,1.1202,0
294732,0.2682,-0.0125,-0.0074,0.9633,0.0088,0.0130,1.0986,0
